@relation InstanceResultListener

@attribute Key_Dataset {'Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,62','Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,62-weka.filters.unsupervised.attribute.Remove-R74','Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,62-weka.filters.unsupervised.attribute.Remove-R74-weka.filters.unsupervised.attribute.Remove-R67-73','Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,62-weka.filters.unsupervised.attribute.Remove-R74-weka.filters.unsupervised.attribute.Remove-R2-61','Data.satisfy-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.NumericToNominal-R1-62-weka.filters.unsupervised.attribute.NumericToNominal-R68-72-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,62-weka.filters.unsupervised.attribute.StringToWordVector-R66-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \\\" \\\\r \\\\t.,;:\\\\\\\'\\\\\\\"()?!\\\"-weka.filters.unsupervised.attribute.NominalToString-C65-weka.filters.unsupervised.attribute.StringToWordVector-R65-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \\\" \\\\r\\\\n\\\\t.,;:\\\\\\\'\\\\\\\"()?!\\\"-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,79,80,78-weka.filters.unsupervised.attribute.NominalToString-C72-weka.filters.unsupervised.attribute.StringToWordVector-R72-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \\\" \\\\r\\\\n\\\\t.,;:\\\\\\\'\\\\\\\"()?!\\\"-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,84,83-weka.filters.unsupervised.attribute.NominalToString-C62-weka.filters.unsupervised.attribute.StringToWordVector-R62-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \\\" \\\\r\\\\n\\\\t.,;:\\\\\\\'\\\\\\\"()?!\\\"-weka.filters.unsupervised.attribute.NominalToString-C70-weka.filters.unsupervised.attribute.StringToWordVector-R70-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \\\" \\\\r\\\\n\\\\t.,;:\\\\\\\'\\\\\\\"()?!\\\"-weka.filters.unsupervised.attribute.NominalToString-C62-weka.filters.unsupervised.attribute.StringToWordVector-R62-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \\\" \\\\r\\\\n\\\\t.,;:\\\\\\\'\\\\\\\"()?!\\\"-weka.filters.unsupervised.attribute.NominalToString-C63-weka.filters.unsupervised.attribute.StringToWordVector-R63-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \\\" \\\\r\\\\n\\\\t.,;:\\\\\\\'\\\\\\\"()?!\\\"-weka.filters.unsupervised.attribute.NominalToString-C62-weka.filters.unsupervised.attribute.StringToWordVector-R62-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \\\" \\\\r\\\\n\\\\t.,;:\\\\\\\'\\\\\\\"()?!\\\"-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,67-weka.filters.unsupervised.attribute.NumericToNominal-R67-113-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,61-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'}
@attribute Key_Run {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H 20 -R','-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H \"20, 20\" -R','-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H \"20, 20, 20\" -R','-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H \"20, 20, 20, 20\" -R','-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H 40 -R','-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H \"40, 40\" -R','-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H \"40, 40, 40\" -R','-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H \"40, 40, 40, 40\" -R'}
@attribute Key_Scheme_version_ID {-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

'Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,62',1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H 20 -R',-5990607817048210779,20221208.151,21853,11257,7329,3928,0,65.106156,34.893844,0,0.420234,0.219355,0.343241,75.025129,89.772311,16442.557157,13169.718806,3272.838351,1.460652,1.169914,0.290738,5498.461346,0.488448,33.440427,0,0,0,0,1,10997,1,260,?,0,?,?,0.870281,0.117823,0.651062,0.224179,0.775821,0.348938,?,0.651062,?,?,0.774861,0.66438,?,0.651062,292.741,0.556,292.5,0.546875,292500,546.875,565201,13765636,7100752,95.69157,56.87128,?
'Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,62',2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H 20 -R',-5990607817048210779,20221208.1519,21852,11258,7364,3894,0,65.411263,34.588737,0,0.410165,0.216236,0.343169,73.957949,89.752558,16444.059203,13107.547751,3336.511452,1.460655,1.164287,0.296368,5653.440034,0.502171,34.379833,0,0,0,0,1,10998,1,260,?,0,?,?,0.85296,0.155714,0.654113,0.247368,0.752632,0.345887,?,0.654113,?,?,0.77728,0.671988,?,0.654113,527.013,0.538,526.6875,0.546875,526687.5,546.875,565201,13765007,7101381,97.717179,61.347486,?
'Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,62',3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H 20 -R',-5990607817048210779,20221208.1524,21853,11257,7196,4061,0,63.924669,36.075331,0,0.297425,0.217553,0.350079,74.41038,91.565295,16438.623138,13704.352563,2734.270575,1.460302,1.217407,0.242895,5237.076536,0.465228,31.858365,0,0,0,0,1,10998,1,259,?,0,?,?,0.87639,0.139674,0.639247,0.366227,0.633773,0.360753,?,0.639247,?,?,0.775291,0.664668,?,0.639247,297.435,0.532,297.234375,0.53125,297234.375,531.25,565201,13765636,7100752,95.780403,54.777028,?
'Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,62',4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H 20 -R',-5990607817048210779,20221208.1535,21853,11257,7287,3970,0,64.733055,35.266945,0,0.394141,0.2226,0.341811,76.137805,89.405139,16438.03604,12918.081938,3519.954102,1.46025,1.14756,0.31269,5339.1791,0.474299,32.480639,0,0,0,0,1,10998,1,259,?,0,?,?,0.883249,0.153073,0.647331,0.260703,0.739297,0.352669,?,0.647331,?,?,0.773749,0.664048,?,0.647331,697.039,0.549,696.765625,0.546875,696765.625,546.875,565201,13765636,7100752,97.876877,62.352314,?
'Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,62',5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H 20 -R',-5990607817048210779,20221208.1543,21852,11258,7380,3878,0,65.553384,34.446616,0,0.387817,0.227642,0.345472,77.86019,90.357336,16443.472105,13212.985324,3230.486781,1.460603,1.173653,0.28695,5102.999867,0.453278,31.033591,0,0,0,0,1,10998,1,260,?,0,?,?,0.871616,0.202515,0.655534,0.283775,0.716225,0.344466,?,0.655534,?,?,0.770998,0.654223,?,0.655534,458.63,0.586,458.421875,0.59375,458421.875,593.75,565201,13765007,7101381,98.44555,64.147717,?
'Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,62-weka.filters.unsupervised.attribute.Remove-R74',1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H 20 -R',-5990607817048210779,20221208.1552,21853,11257,6233,5024,0,55.369992,44.630008,0,0.212532,0.265865,0.374179,90.932527,97.863935,16442.557157,15477.22063,965.336528,1.460652,1.374897,0.085754,2631.312234,0.233749,16.00306,0,0,0.000182,2,0.999818,10995,1,260,0,0,0,-0.00205,0.786882,0.106651,0.5537,0.345024,0.654976,0.4463,0.542958,0.5537,0.521163,0.209324,0.688968,0.577062,0.305312,0.5537,514.034,0.534,513.90625,0.53125,513906.25,531.25,554417,13590683,7010567,97.210625,68.426313,?
'Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,62-weka.filters.unsupervised.attribute.Remove-R74',2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H 20 -R',-5990607817048210779,20221208.1558,21852,11258,6291,4967,0,55.880263,44.119737,0,0.227521,0.26642,0.373163,91.122102,97.597099,16444.059203,15192.990536,1251.068666,1.460655,1.349528,0.111127,2699.768208,0.239809,16.417894,0,0,0,0,1,10998,1,260,?,0,?,?,0.819802,0.143212,0.558803,0.334227,0.665773,0.441197,?,0.558803,?,?,0.700556,0.585308,?,0.558803,393.072,0.528,393,0.53125,393000,531.25,554417,13590062,7011188,96.979925,63.146207,?
'Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,62-weka.filters.unsupervised.attribute.Remove-R74',3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H 20 -R',-5990607817048210779,20221208.1605,21853,11257,6700,4557,0,59.518522,40.481478,0,0.189691,0.246183,0.368139,84.2028,96.289053,16438.623138,15175.746565,1262.876572,1.460302,1.348116,0.112186,3379.884473,0.300247,20.56063,0,0,0,0,1,10998,1,259,?,0,?,?,0.786985,0.079634,0.595185,0.426213,0.573787,0.404815,?,0.595185,?,?,0.681006,0.566109,?,0.595185,397.335,0.55,397.09375,0.546875,397093.75,546.875,554417,13590683,7010567,96.038021,61.932575,?
'Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,62-weka.filters.unsupervised.attribute.Remove-R74',4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 20 -S 0 -E 20 -H 20 -R',-5990607817048210779,20221208.1609,21853,11257,6503,4754,0,57.7685,42.2315,0,0.138213,0.249285,0.365848,85.265141,95.692321,16438.03604,14877.504348,1560.531692,1.46025,1.321622,0.138628,3518.251887,0.312539,21.403116,0,0,0,0,1,10998,1,259,?,0,?,?,0.821544,0.125969,0.577685,0.456656,0.543344,0.422315,?,0.577685,?,?,0.693266,0.579944,?,0.577685,237.915,0.56,237.75,0.546875,237750,546.875,554417,13590683,7010567,97.75251,67.027183,?
